Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:48:40
============================================================
Порт  9913: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9912: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9911: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9910: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9909: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9908: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9907: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9906: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9905: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9904: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9903: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9902: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9901: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9900: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9899: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9898: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9897: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9896: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9895: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9894: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9893: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9892: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9891: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9890: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9889: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9888: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9887: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9886: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9885: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9884: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9883: CLOSED     | Сервис: Unknown         | Время: 1.517 сек
Порт  9882: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9881: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9880: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9879: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9878: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9877: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9876: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9875: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9874: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9873: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9872: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9871: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9870: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9869: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9868: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9867: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9866: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9865: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9864: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9863: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9862: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9861: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9860: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9859: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9858: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9857: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9856: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9855: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9854: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9853: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9852: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9851: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9850: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9849: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9848: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9847: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9846: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
