Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:25:58
============================================================
Порт   964: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   963: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   962: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   961: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   960: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   959: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   958: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   957: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   956: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   955: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   954: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   953: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   952: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   951: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   950: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   949: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   948: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   947: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   946: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   945: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   944: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   943: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   942: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   941: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   940: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   939: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   938: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   937: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   936: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   935: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   934: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   933: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   932: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   931: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   930: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   929: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   928: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   927: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   926: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   925: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   924: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   923: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   922: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   921: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   920: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   919: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   918: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   917: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   916: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   915: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   914: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   913: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   912: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   911: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   910: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   909: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   908: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   907: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   906: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   905: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   904: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   903: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   902: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   901: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   900: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   899: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   898: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   897: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   896: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   895: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   894: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   893: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   892: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   891: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   890: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   889: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   888: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   887: CLOSED     | Сервис: Unknown         | Время: 2.019 сек
Порт   886: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   885: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   884: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   883: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   882: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   881: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   880: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   879: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   878: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   877: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   876: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   875: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   874: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   873: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   872: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   871: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   870: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   869: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   868: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   867: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   866: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   865: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   864: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   863: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   862: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   861: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   860: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   859: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   858: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   857: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   856: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   855: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
