Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт   353: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   352: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   351: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   350: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   349: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   348: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   347: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   346: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   345: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   344: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   343: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   342: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   341: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   340: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   339: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   338: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   337: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   336: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   335: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   334: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   333: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   332: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   331: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   330: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   329: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   328: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   327: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   326: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   325: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   324: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   323: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   322: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   321: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   320: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   319: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   318: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   317: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   316: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   315: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   314: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   313: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   312: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   311: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   310: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   309: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   308: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   307: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   306: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   305: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   304: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   303: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   302: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   301: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   300: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   299: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   298: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   297: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   296: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   295: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   294: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   293: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   292: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   291: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   290: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   289: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   288: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   287: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   286: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   285: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   284: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   283: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   282: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   281: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   280: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   279: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   278: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   277: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   276: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   275: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   274: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   273: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   272: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   271: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   270: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   269: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   268: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   267: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   266: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   265: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   264: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   263: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   262: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   261: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   260: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   259: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   258: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   257: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   256: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   255: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   254: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   253: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   252: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   251: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   250: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   249: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   248: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   247: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   246: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   245: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   244: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   243: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   242: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   241: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   240: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   239: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   238: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   237: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт   236: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   235: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   234: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   233: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   232: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   231: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   230: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   229: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   228: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   227: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   226: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
